expression,reading,romaji,meaningKo,partOfSpeech,level
字,じ,ji,뜻 자동 생성 필요,미분류,N4
大事,だいじ,daiji,뜻 자동 생성 필요,미분류,N4
汚れる,よごれる,yogoreru,뜻 자동 생성 필요,미분류,N4
僕,ぼく,boku,뜻 자동 생성 필요,미분류,N4
包む,つつむ,tsutsumu,뜻 자동 생성 필요,미분류,N4
都,と,to,뜻 자동 생성 필요,미분류,N4
間,あいだ,aida,뜻 자동 생성 필요,미분류,N4
市,し,shi,뜻 자동 생성 필요,미분류,N4
止める,やめる,yameru,뜻 자동 생성 필요,미분류,N4
表,おもて,omote,뜻 자동 생성 필요,미분류,N4
日,ひ,hi,뜻 자동 생성 필요,미분류,N4
打つ,うつ,utsu,뜻 자동 생성 필요,미분류,N4
訳,わけ,wake,뜻 자동 생성 필요,미분류,N4
安全,あんぜん,anzen,뜻 자동 생성 필요,미분류,N4
意見,いけん,iken,뜻 자동 생성 필요,미분류,N4
会議,かいぎ,kaigi,뜻 자동 생성 필요,미분류,N4
関係,かんけい,kankei,뜻 자동 생성 필요,미분류,N4
気,き,ki,뜻 자동 생성 필요,미분류,N4
技術,ぎじゅつ,gijutsu,뜻 자동 생성 필요,미분류,N4
客,きゃく,kyaku,뜻 자동 생성 필요,미분류,N4
教育,きょういく,kyouiku,뜻 자동 생성 필요,미분류,N4
空港,くうこう,kuukou,뜻 자동 생성 필요,미분류,N4
形,かたち,katachi,뜻 자동 생성 필요,미분류,N4
経済,けいざい,keizai,뜻 자동 생성 필요,미분류,N4
警察,けいさつ,keisatsu,뜻 자동 생성 필요,미분류,N4
研究,けんきゅう,kenkyuu,뜻 자동 생성 필요,미분류,N4
原因,げんいん,genin,뜻 자동 생성 필요,미분류,N4
光,ひかり,hikari,뜻 자동 생성 필요,미분류,N4
高校,こうこう,koukou,뜻 자동 생성 필요,미분류,N4
国際,こくさい,kokusai,뜻 자동 생성 필요,미분류,N4
最近,さいきん,saikin,뜻 자동 생성 필요,미분류,N4
最後,さいご,saigo,뜻 자동 생성 필요,미분류,N4
最初,さいしょ,saisho,뜻 자동 생성 필요,미분류,N4
妻,つま,tsuma,뜻 자동 생성 필요,미분류,N4
産業,さんぎょう,sangyou,뜻 자동 생성 필요,미분류,N4
子,こ,ko,뜻 자동 생성 필요,미분류,N4
