expression,reading,romaji,meaningKo,partOfSpeech,level
山,やま,yama,산,명사,N5
川,かわ,kawa,강,명사,N5
木,き,ki,나무,명사,N5
森,もり,mori,숲,명사,N5
海,うみ,umi,바다,명사,N5
空,そら,sora,하늘,명사,N5
雨,あめ,ame,비,명사,N5
花,はな,hana,꽃,명사,N5
犬,いぬ,inu,개,명사,N5
猫,ねこ,neko,고양이,명사,N5
魚,さかな,sakana,물고기,명사,N5
鳥,とり,tori,새,명사,N5
本,ほん,hon,책,명사,N5
水,みず,mizu,물,명사,N5
火,ひ,hi,불,명사,N5
石,いし,ishi,돌,명사,N5
土,つち,tsuchi,흙,명사,N5
竹,たけ,take,대나무,명사,N5
米,こめ,kome,쌀,명사,N5
茶,ちゃ,cha,차,명사,N5
車,くるま,kuruma,자동차,명사,N5
電車,でんしゃ,densha,전철,명사,N5
自転車,じてんしゃ,jitensha,자전거,명사,N5
駅,えき,eki,역,명사,N5
道,みち,michi,길,명사,N5
橋,はし,hashi,다리,명사,N5
家,いえ,ie,집,명사,N5
部屋,へや,heya,방,명사,N5
門,もん,mon,문,명사,N5
窓,まど,mado,창문,명사,N5
机,つくえ,tsukue,책상,명사,N5
椅子,いす,isu,의자,명사,N5
時計,とけい,tokei,시계,명사,N5
電話,でんわ,denwa,전화,명사,N5
テレビ,てれび,terebi,텔레비전,명사,N5
冷蔵庫,れいぞうこ,reizouko,냉장고,명사,N5
洗濯機,せんたくき,sentakuki,세탁기,명사,N5
お金,おかね,okane,돈,명사,N5
財布,さいふ,saifu,지갑,명사,N5
鞄,かばん,kaban,가방,명사,N5
服,ふく,fuku,옷,명사,N5
靴,くつ,kutsu,신발,명사,N5
帽子,ぼうし,boushi,모자,명사,N5
眼鏡,めがね,megane,안경,명사,N5
食べ物,たべもの,tabemono,음식,명사,N5
飲み物,のみもの,nomimono,음료,명사,N5
ご飯,ごはん,gohan,밥,명사,N5
パン,ぱん,pan,빵,명사,N5
肉,にく,niku,고기,명사,N5
野菜,やさい,yasai,채소,명사,N5
果物,くだもの,kudamono,과일,명사,N5
卵,たまご,tamago,달걀,명사,N5
牛乳,ぎゅうにゅう,gyuunyuu,우유,명사,N5
コーヒー,こーひー,koohii,커피,명사,N5
学校,がっこう,gakkou,학교,명사,N5
会社,かいしゃ,kaisha,회사,명사,N5
病院,びょういん,byouin,병원,명사,N5
銀行,ぎんこう,ginkou,은행,명사,N5
郵便局,ゆうびんきょく,yuubinkyoku,우체국,명사,N5
図書館,としょかん,toshokan,도서관,명사,N5
公園,こうえん,kouen,공원,명사,N5
店,みせ,mise,가게,명사,N5
スーパー,すーぱー,suupaa,슈퍼마켓,명사,N5
レストラン,れすとらん,resutoran,레스토랑,명사,N5
先生,せんせい,sensei,선생님,명사,N5
学生,がくせい,gakusei,학생,명사,N5
友達,ともだち,tomodachi,친구,명사,N5
家族,かぞく,kazoku,가족,명사,N5
父,ちち,chichi,아버지,명사,N5
母,はは,haha,어머니,명사,N5
兄,あに,ani,형 오빠,명사,N5
姉,あね,ane,누나 언니,명사,N5
弟,おとうと,otouto,남동생,명사,N5
妹,いもうと,imouto,여동생,명사,N5
子供,こども,kodomo,아이,명사,N5
男,おとこ,otoko,남자,명사,N5
女,おんな,onna,여자,명사,N5
人,ひと,hito,사람,명사,N5
名前,なまえ,namae,이름,명사,N5
年,とし,toshi,나이 해,명사,N5
今日,きょう,kyou,오늘,명사,N5
